"","ASSESSMENT","ID_NO","BINOMIAL","PRESENCE","ORIGIN","SEASONAL","COMPILER","YEAR","CITATION","LEGEND","fid","GID_0","COUNTRY","prevalence.mean","DNC-175.mean","Peru-anuran-species-PSAD56.mean","prevalence.max","DNC-175.max","Peru-anuran-species-PSAD56.max","prevalence.sd","DNC-175.sd","Peru-anuran-species-PSAD56.sd","Area","Status"
"34",3059350,57349,"Telmatobius marmoratus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.315637650792786,0.302749057468735,7.41746920091765,0.999151229858398,0.863094449043274,11.7802209854126,0.367552269692406,0.235917695430319,1.00641117699256,67463.28482214,"Endangered"
"35",3059558,57350,"Telmatobius mayoloi",1,1,1,"Kelsey Neam",2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.381660398095846,0.0436600665561855,2.45774883031845,0.642519414424896,0.0980114191770554,3.05991101264954,0.19397190324596,0.0397853467525613,0.53735269286048,501.022615009465,"Endangered"
"36",3059731,57351,"Telmatobius necopinus",1,1,1,"Kelsey Neam",2016,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.462246298789978,0.0352117558941245,8.24955463409424,0.48012387752533,0.0445752367377281,8.94558334350586,0.025282714309927,0.0132419616000449,0.984333240650957,10.3720168890617,"Data Deficient"
"37",3060018,57364,"Telmatobius thompsoni",1,1,1,"Ariadne Angulo",2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe","Extant (resident)",1,"PER","Peru",0.0848912093788385,0.0853146687150002,0.166292190551758,0.118649072945118,0.107651628553867,0.20073164999485,0.0477408284921729,0.0315892315463091,0.0487047506252194,10.3857243891947,"Data Deficient"
"38",3060175,57365,"Telmatobius truebae",1,1,1,"Kelsey Neam",2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.205702402335759,0.0839339143506462,5.68601566745389,0.505337595939636,0.260933369398117,9.44795799255371,0.171758331003096,0.0809815739700958,2.47309153504389,3657.40173605805,"Vulnerable"
"39",3063754,58019,"Chiasmocleis antenori",1,1,1,"Kelsey Neam",2017,"IUCN (International Union for Conservation of Nature) & Conservation International.","Extant (resident)",1,"PER","Peru",0.0153650879554628,0.0191751801383628,86.590068117706,0.525817036628723,0.23532235622406,126.86547088623,0.0333656505291546,0.0337079033162931,32.0258161163504,325102.700950117,"Least Concern"
"40",3063878,58020,"Chiasmocleis carvalhoi",1,1,1,"Kelsey Neam",2017,"IUCN (International Union for Conservation of Nature) & Conservation International","Extant (resident)",1,"PER","Peru",0.0110925813824945,0.00360258214321657,111.21044095426,0.261644452810287,0.04665707051754,126.86547088623,0.0145160137166002,0.00689797922436986,6.57461338550174,112871.232476219,"Least Concern"
"41",3107566,61806,"Pristimantis aniptopalmatus",1,1,1,"Kelsey Neam",2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe","Extant (resident)",1,"PER","Peru",0.12532129821678,0.0868301180501779,7.51134490966797,0.27229905128479,0.108565554022789,9.35302639007568,0.0827300964774073,0.0146398990012895,1.48957880415456,86.4902600240337,"Least Concern"
"42",3108153,61835,"Telmatobius timens",1,1,1,"Ariadne Angulo",2014,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.133664309378946,0.12646686732769,8.44069156646728,0.235876902937889,0.215679660439491,9.97340393066406,0.0871913655173486,0.0508053563176617,0.982576371255499,37.690560593817,"Critically Endangered"
"43",4216760,135889,"Telmatobius sanborni",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.167122720594657,0.0840676674538722,6.89846628117111,0.985824227333069,0.421565502882004,11.946141242981,0.23715462881494,0.0960817565283058,2.12413990720291,6226.56457328339,"Critically Endangered"
"44",4252119,136155,"Engystomops freibergi",1,1,1,"IUCN",2009,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0147013381756098,0.0432381679170131,70.6801705360413,0.445303916931152,0.261543124914169,108.266891479492,0.0383859449668866,0.0454973526170569,33.5746835201115,251752.759737748,"Least Concern"
"45",5200698,158475,"Rulyrana mcdiarmidi",1,1,1,"IUCN",2009,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.102156143402681,0.0340112309038107,3.60684607710157,0.337210536003113,0.0785847902297974,5.27986240386963,0.0933371530638053,0.0223178411635873,1.04820027667639,1738.97385330092,"Near Threatened"
"46",10382424,41065,"Rhinella marina",1,1,1,"IUCN",2009,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0135975451290993,0.0181504605616349,86.3386863072103,0.525817036628723,0.252451449632645,126.86547088623,0.0265910816907367,0.0322623802365337,28.8720112331937,635252.197076127,"Least Concern"
"47",11166846,54555,"Atelopus spumarius",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0136548580329379,0.00806585828845578,107.349948755252,0.459233582019806,0.167288199067116,126.86547088623,0.0269459030927533,0.022809859403116,11.4176282034076,166527.817086811,"Vulnerable"
"48",11177070,54625,"Rhinella dapsilis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.00699070723592609,0.00790774132381433,101.971866772845,0.261644452810287,0.0838482081890106,126.86547088623,0.0118412493844558,0.0120277081361674,16.6171047649834,148254.856274099,"Least Concern"
"49",11179603,54638,"Rhinella fissipes",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.089053673960942,0.0970312284384688,14.0615877718539,0.26540344953537,0.261543124914169,23.1666011810303,0.0564657723076491,0.079769282113969,3.02248223874887,8729.87152981649,"Data Deficient"
"50",11181866,54651,"Rhaebo glaberrimus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0137324366710289,0.0165397718710174,97.6336325469844,0.525817036628723,0.167030468583107,126.86547088623,0.0261699805344415,0.028958887884869,13.2089329440707,411874.841240436,"Least Concern"
"51",11183165,54658,"Rhaebo guttatus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0138587456490323,0.0161647123496275,100.596718412488,0.525817036628723,0.180293843150139,126.86547088623,0.0278752580744117,0.0308806574031679,11.0189353181821,460574.484569238,"Least Concern"
"52",11185916,54701,"Rhinella margaritifera",1,1,1,"IUCN",2009,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0146077951279136,0.0174151684970873,90.3224767111644,0.525817036628723,0.199566259980202,126.86547088623,0.0279149083958973,0.0302286603255327,24.0878960399714,599038.149785922,"Least Concern"
"53",11192672,54792,"Rhinella veraguensis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0629300170137923,0.0728369776672216,15.0888965611506,0.39095875620842,0.362170189619064,70.0639495849609,0.065522407266037,0.0811113023299272,11.4210381849601,47789.8531539151,"Least Concern"
"54",11196797,54735,"Rhinella poeppigii",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0318607675775334,0.0555509469616145,38.202037448226,0.445303916931152,0.451373726129532,97.9584350585938,0.0535745370981627,0.0591379559445861,28.3992711003797,192659.921602401,"Least Concern"
"55",11197047,54737,"Rhinella proboscidea",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0218002756919661,0.000457559718230706,107.826483204715,0.525817036628723,0.00639254087582231,126.86547088623,0.0321352504665263,0.000986781971499437,8.10543797367292,125258.336557758,"Least Concern"
"56",11199003,54749,"Rhinella roqueana",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0197304013971105,0.00521093016582791,94.8496167684171,0.525817036628723,0.179468289017677,126.86547088623,0.0308844175595105,0.0124894980064191,24.0323398520489,357533.633106645,"Least Concern"
"57",11205201,54809,"Amazophrynella minuta",1,1,1,"IUCN",2009,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0142597379798091,0.0157766493927274,95.7539015675431,0.525817036628723,0.179468289017677,126.86547088623,0.0278579384043443,0.0291937402482394,16.831434784554,540595.228369048,"Least Concern"
"58",11219321,54971,"Teratohyla midas",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0139456024497096,0.0118212425106881,98.9006203218067,0.525817036628723,0.13504932820797,126.86547088623,0.0275663766700399,0.0223904365921921,12.2886970823568,498770.107038946,"Least Concern"
"59",11220443,54908,"Centrolene buckleyi",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.241724578574778,0.125491271623307,4.85491594943133,0.726379871368408,0.200484335422516,8.37720966339111,0.208953118827937,0.0549080554146922,1.96369314593014,2534.77694357832,"No information"
"60",11222692,54980,"Nymphargus pluvialis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.124691230244935,0.310210473835468,6.67697393894196,0.358949959278107,0.352044671773911,7.31283569335938,0.15781621012884,0.0313043048671179,0.638953146177767,350.049061406636,"Endangered"
"61",11226688,54992,"Nymphargus siren",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0212265172740445,0.177439327538013,8.14580931663513,0.109493084251881,0.30348926782608,8.969801902771,0.0330617500959853,0.0709806257786952,0.563091200450359,1046.46239403041,"No information"
"62",11227150,54994,"Rulyrana spiculata",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0671967058172207,0.175753237188447,7.19756096819021,0.459517329931259,0.543541550636292,14.7514810562134,0.0886822249516632,0.133500405386875,2.20654311476708,17132.4593218565,"Near Threatened"
"63",11235357,55075,"Hyloxalus elachyhistus",1,1,1,"IUCN",2009,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.109407909678382,0.0439296934381127,4.71438075383504,0.726379871368408,0.200484335422516,8.37720966339111,0.178757978764167,0.0448370499234199,1.13701981292851,8658.98052424466,"Least Concern"
"64",11239445,55088,"Allobates fuscellus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0117782060376484,0.00195206172524346,108.076542087709,0.410680145025253,0.0242369100451469,123.566925048828,0.0235508270894982,0.00318177842337284,6.03276335463509,56446.0213936962,"Data Deficient"
"65",11244330,55038,"Allobates femoralis",1,1,1,"IUCN",2009,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0136888672837314,0.0184525536830553,94.2338517034598,0.525817036628723,0.261543124914169,126.86547088623,0.0267043206651253,0.0329993277879614,18.14694220932,566403.730471777,"Least Concern"
"66",11247662,55068,"Allobates conspicuus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.00592639060002102,0.01194696663685,103.858620591418,0.241558268666267,0.0758596286177635,126.86547088623,0.0101116102027073,0.014135083633068,9.30281165996035,189669.834182506,"Data Deficient"
"67",11249085,55160,"Allobates trilineatus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0130522992331359,0.0173130624082143,94.9332722183595,0.525817036628723,0.180324047803879,126.86547088623,0.0245254743621024,0.0318470694485595,18.9747089015956,505371.450101111,"Least Concern"
"68",11250249,55172,"Ranitomeya amazonica",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0110514475803939,0.00326465268262837,117.231705379486,0.0433870367705822,0.00650862976908684,122.061813354492,0.00811816753436565,0.0019202966809515,2.77512171799909,9748.237577743,"Data Deficient"
"69",11251897,55110,"Allobates marchesianus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0197848293192566,0.00362463536162908,104.420775808324,0.525817036628723,0.053486630320549,126.86547088623,0.0325206782980722,0.00957117583923885,9.65960817781798,258265.511544473,"Least Concern"
"70",11252845,55181,"Ranitomeya duellmani",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.019275408502944,0.000627170361508617,112.028404419828,0.261644452810287,0.0073315566405654,126.86547088623,0.0177067097558493,0.00129470675759823,7.00327050711889,75975.627640379,"Least Concern"
"71",11257752,55197,"Adelphobates quinquevittatus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.010855216728309,0.00758330794404909,109.535321125451,0.410680145025253,0.053486630320549,126.86547088623,0.0185564156483246,0.0128069021970228,7.5612158040343,133578.639618715,"Least Concern"
"72",11258433,55130,"Hyloxalus peruvianus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0523165546575469,0.0540240647087833,51.0382695842434,0.156144112348557,0.177278488874435,97.3395919799805,0.0546209580984639,0.0572313679338848,38.3212021366389,4473.51780912053,"No information"
"73",11261780,55153,"Allobates sumtuosus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0121891011487021,0.00212406758840237,111.233306492307,0.261644452810287,0.0111887454986572,126.86547088623,0.0177664504795125,0.0022701849973401,9.06604491330693,58858.5483384871,"Data Deficient"
"74",11266499,55207,"Ranitomeya variabilis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0352084184414707,0.00523755733027226,79.2645848592122,0.112330749630928,0.0105770519003272,86.1292037963867,0.0352950831175351,0.00249471127426177,5.71853645457462,2297.84760301916,"Data Deficient"
"75",11266760,55208,"Ranitomeya ventrimaculata",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0153283553804372,0.00709516657896071,103.484716595118,0.525817036628723,0.0990177020430565,126.86547088623,0.0299842255854501,0.0138225997329236,7.66626541219614,388671.154814912,"Least Concern"
"76",11273787,55223,"Ameerega hahneli",1,1,1,"IUCN",2009,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0140815063250488,0.0120122912703094,101.145771833998,0.525817036628723,0.128806054592133,126.86547088623,0.0281802768015462,0.0239487593858238,9.4803323140174,456436.040141979,"Least Concern"
"77",11276756,55230,"Ameerega petersi",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.00806490437329961,0.0176701611768026,76.5371722109616,0.136009022593498,0.148697108030319,108.266891479492,0.0156215853373774,0.0261453966781217,28.0887827759085,77790.2243763768,"Least Concern"
"78",11276969,55231,"Ameerega picta",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0113274552290868,0.0229380382878363,102.715454203908,0.525817036628723,0.180293843150139,126.86547088623,0.02777858406599,0.0348998216580019,11.068452671043,249037.438335694,"Least Concern"
"79",11278640,55240,"Ameerega trivittata",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.013353416119677,0.0112366215918264,99.1974699523308,0.525817036628723,0.170717120170593,126.86547088623,0.028011226612278,0.0218165875934564,14.3199778049597,446012.299182834,"Least Concern"
